particle,time,energy,r,potential,impact parameter,v0
1,92911.19466914417,5755.973048929736,1755041566021804.0,-71676.46846931032,7475483498014816.0,92.0
1,95514.22239828143,5853.926777739878,1752301628042199.2,-71634.18421964455,7475483498014816.0,92.0
1,98190.17732831009,5955.927137999082,1749962167417273.0,-71578.54523890252,7475483498014816.0,92.0
1,100941.10260943102,6061.904364300848,1748067937859084.2,-71509.12740416512,7475483498014816.0,92.0
1,103769.09863335191,6171.748575817284,1746666833783621.2,-71425.5810995293,7475483498014816.0,92.0
1,106676.32463697944,6285.304305086509,1745809991767274.8,-71327.64592747585,7475483498014816.0,92.0
1,109665.00035104563,6402.364644123401,1745551876431344.2,-71215.16628796663,7475483498014816.0,92.0
1,112737.40769492048,6522.665036115519,1745950347213354.2,-71088.10761212376,7475483498014816.0,92.0
1,115895.89251890726,6645.876755094534,1747066702295342.0,-70946.57297091895,7475483498014816.0,92.0
1,119142.86639535036,6771.600131857107,1748965695856043.8,-70790.8197097849,7475483498014816.0,92.0
1,122480.80845992522,6899.357601745083,1751715524822214.2,-70621.27569083782,7475483498014816.0,92.0
1,125912.2673045096,7028.586668231757,1755387781440965.5,-70438.55465985493,7475483498014816.0,92.0
1,129439.8629230931,7158.632894941053,1760057368305820.0,-70243.47020062599,7475483498014816.0,92.0
1,133066.28871219646,7288.743056882187,1765802372966479.0,-70037.04770087909,7475483498014816.0,92.0
1,136794.3135273409,7418.058598275951,1772703899952396.8,-69820.53373810589,7475483498014816.0,92.0
1,140626.78379712935,7545.609558143973,1780845858950125.2,-69595.40230655733,7475483498014816.0,92.0
1,144566.625696557,7670.309134521944,1790314708988857.5,-69363.35735382211,7475483498014816.0,92.0
1,148616.84738120958,7790.949062364991,1801199159787416.0,-69126.33118043703,7475483498014816.0,92.0
1,152780.5412840577,7906.195977696116,1813589832862004.5,-68886.47838004393,7475483498014816.0,92.0
1,157060.88647659603,8014.588930231184,1827578886532515.2,-68646.16515858071,7475483498014816.0,92.0
1,161461.1510961327,8105.759338726828,1843258815868048.2,-68413.94987003792,7475483498014816.0,92.0
1,165984.69484108573,8153.275634276521,1860714461084028.0,-68208.42596375216,7475483498014816.0,92.0
1,170634.97153618548,8154.780928352848,1880025153561103.0,-68030.74136639111,7475483498014816.0,92.0
1,175415.53176954575,8134.19529723069,1901268787066728.8,-67856.33583284357,7475483498014816.0,92.0
1,180330.0256036147,8118.750121945239,1924521515296108.5,-67657.44540769745,7475483498014816.0,92.0
1,185382.20536208036,8109.151806136375,1949857421685410.5,-67432.94917520205,7475483498014816.0,92.0
1,190575.92849484697,8154.685397089139,1977348228946694.8,-67133.2737737914,7475483498014816.0,92.0
1,195915.1605232883,8874.256436993528,2007063054951597.8,-66139.35704336967,7475483498014816.0,92.0
1,201403.9780680049,9583.658373610648,2039055494070556.2,-65101.64161103831,7475483498014816.0,92.0
1,207046.57196141605,10264.29763994718,2073347875712741.8,-64024.88533399963,7475483498014816.0,92.0
1,212847.25044755166,10897.365639919837,2109948484625838.0,-62914.26590139717,7475483498014816.0,92.0
1,218810.44247149065,11460.98884666054,2148847346047199.2,-61775.37936521446,7475483498014816.0,92.0
1,224940.70106095684,11929.864525218181,2190012614968746.2,-60614.19879167884,7475483498014816.0,92.0
1,231242.70680265882,12274.910114356571,2233386159638973.0,-59437.03887797817,7475483498014816.0,92.0
1,237721.2714160141,12462.99036404393,2278878158930220.0,-58250.52975290055,7475483498014816.0,92.0
1,244381.34142700973,12456.832541409007,2326360524909782.0,-57061.602695974216,7475483498014816.0,92.0
1,251228.00194497657,12215.306530684087,2375658978234960.0,-55877.489663363216,7475483498014816.0,92.0
1,258266.4805451856,11694.335301802988,2426543665531636.5,-54705.737170782144,7475483498014816.0,92.0
1,265502.15126021486,10848.80588448645,2478718345661681.5,-53554.233070625116,7475483498014816.0,92.0
1,272940.5386831414,9635.947663524938,2531808427756316.0,-52431.241852543775,7475483498014816.0,92.0
1,280587.3221856877,8020.676794397448,2585348566816886.5,-51345.440109624506,7475483498014816.0,92.0
1,288448.3402545511,5983.267997873067,2638771152225501.0,-50305.93876549093,7475483498014816.0,92.0
1,296529.59494920814,3529.254973560688,2691397855795245.0,-49322.27307611371,7475483498014816.0,92.0
1,304837.25648462796,700.5265103608835,2742437329302634.0,-48404.336748783804,7475483498014816.0,92.0
1,313377.6679423579,-2414.8307715783667,2790992868769504.0,-47562.23546301111,7475483498014816.0,92.0
1,322157.35011361033,-5677.917078486418,2836083891257510.0,-46806.041390101804,7475483498014816.0,92.0
1,331183.00647802826,-8904.299988964827,2876683780445134.5,-46145.447373245544,7475483498014816.0,92.0
1,340461.52832193894,-11882.43951067578,2911773645029774.0,-45589.347312964856,7475483498014816.0,92.0
2,195915.1605232883,4232.000000000015,1975384821428571.8,-67199.99999999999,5529978539275639.0,92.0
2,201403.9780680049,4225.538760557858,1927835708562637.2,-67676.79296720856,5529978539275639.0,92.0
2,207046.57196141605,4205.123693121626,1879763918719354.5,-68210.89714051134,5529978539275639.0,92.0
2,212847.25044755166,4169.096532834024,1831267304996627.0,-68807.76459750363,5529978539275639.0,92.0
2,218810.44247149065,4115.645058542665,1782465258663472.0,-69473.06902962746,5529978539275639.0,92.0
2,224940.70106095684,4042.7987495230336,1733502781901428.0,-70212.56554685379,5529978539275639.0,92.0
2,231242.70680265882,3948.4293762078305,1684555282216615.8,-71031.86914558949,5529978539275639.0,92.0
2,237721.2714160141,3830.2591893892677,1635834160879799.2,-71936.12030640486,5529978539275639.0,92.0
2,244381.34142700973,3685.880357768081,1587593231837876.8,-72929.49788511933,5529978539275639.0,92.0
