ImpactParameter,Entered,InitialVelocity,Ncaptured,CapturedVolume
[],0,116.2,0,0.0
[4.7240023e+15],1,116.4,0,0.0
[3.0574527e+15],1,116.6,0,0.0
[4.8346444e+15 4.3442472e+15],2,116.8,0,0.0
[],0,117.0,0,0.0
[],0,117.2,0,0.0
[5.0711903e+15 4.8111526e+15 3.7558327e+15],3,117.4,0,0.0
[2.8527914e+15],1,117.6,0,0.0
[],0,117.8,0,0.0
[6.2464517e+15],1,118.0,0,0.0
[1.4757588e+15 3.7321465e+15],2,118.2,0,0.0
[],0,118.4,0,0.0
[],0,118.6,0,0.0
[],0,118.8,0,0.0
[],0,119.0,0,0.0
[5.6756597e+15 3.2219336e+15 4.8484383e+15],3,119.2,0,0.0
[5.5121707e+15 5.0486009e+15 5.1065019e+15],3,119.4,0,0.0
[5.240794e+15],1,119.6,0,0.0
[4.1574779e+15 2.8821373e+15],2,119.8,0,0.0
[4.1576827e+15],1,120.0,0,0.0
[5.2386833e+15],1,120.2,0,0.0
[],0,120.4,0,0.0
[1.3006546e+15 2.0870481e+15],2,120.6,0,0.0
[4.9541825e+15],1,120.8,0,0.0
[4.2327386e+15 4.7210361e+15],2,121.0,0,0.0
[2.2034243e+15],1,121.2,0,0.0
[],0,121.4,0,0.0
